ego_id;rs_pattern_10;rs_pattern_11;rs_pattern_12;rs_pattern_13;rs_pattern_14;rs_pattern_15;rs_pattern_16;rs_pattern_17;rs_pattern_18;rs_pattern_19;rs_pattern_20;rs_pattern_21;rs_pattern_22;rs_pattern_23;rs_pattern_24;rs_pattern_25;rs_pattern_26;rs_pattern_27;rs_pattern_28;rs_pattern_29;rs_pattern_30
8d2298dadb8cd6bceb741c1cccaf359f;349.0;2649.0;1965.0;541.0;556.0;3257.0;0.0;332.0;303.0;627.0;314.0;12.0;31.0;653.0;80.0;19.0;39.0;15.0;80.0;61.0;35.0
c69156f52e6f41694d0d1ba496cb0ea8;5641.0;1452.0;7938.0;3043.0;2854.0;2479.0;108.0;781.0;991.0;1241.0;349.0;269.0;18.0;406.0;321.0;52.0;45.0;22.0;210.0;129.0;135.0
9616405442236cbb3ba39870084ffba1;104.0;180.0;216.0;442.0;118.0;787.0;0.0;13.0;204.0;350.0;351.0;2.0;0.0;615.0;79.0;4.0;3.0;15.0;148.0;111.0;105.0
ca54d0cb47d9b2d1320eb0f3404ffefc;9.0;9.0;28.0;34.0;66.0;82.0;0.0;7.0;51.0;236.0;39.0;7.0;0.0;258.0;102.0;28.0;3.0;22.0;212.0;222.0;110.0
61d20fe1310c10b3840c891f4db27215;1200.0;2993.0;2476.0;765.0;998.0;4022.0;50.0;446.0;401.0;1323.0;456.0;169.0;16.0;346.0;254.0;43.0;59.0;7.0;108.0;25.0;4.0
305b11056277914347917f2599ac4875;45.0;4.0;132.0;119.0;24.0;41.0;0.0;0.0;20.0;14.0;21.0;0.0;0.0;43.0;6.0;0.0;0.0;0.0;9.0;4.0;3.0
9f05bccfbb541fc09106ff4a81bc7260;637.0;1912.0;3211.0;899.0;421.0;1803.0;0.0;80.0;290.0;700.0;71.0;9.0;0.0;594.0;117.0;45.0;3.0;9.0;224.0;91.0;49.0
7546cfcd5a9524384d924492966a5f97;88602.0;74186.0;230743.0;179222.0;114443.0;187680.0;511.0;11903.0;70595.0;141700.0;47806.0;6159.0;341.0;129039.0;37395.0;22094.0;2879.0;2743.0;74038.0;37424.0;26984.0
48438003c62511f233842ad68b988679;59.0;12384.0;2665.0;262.0;337.0;7127.0;0.0;0.0;169.0;316.0;333.0;1.0;0.0;336.0;11.0;4.0;0.0;2.0;14.0;9.0;3.0
d2ce5190aa176854d232681c84c736d4;405.0;1453.0;1533.0;618.0;1596.0;3767.0;8.0;239.0;1055.0;4468.0;588.0;144.0;11.0;2053.0;1887.0;1376.0;53.0;162.0;3264.0;1604.0;600.0
cefd7c37d3f47bc6c88fcc9627aeb04d;77555.0;16198.0;106627.0;82283.0;77403.0;58725.0;3952.0;29374.0;63186.0;77649.0;19934.0;20269.0;1536.0;41418.0;47294.0;11993.0;7382.0;6042.0;41822.0;17360.0;5220.0
11bbbd78beacfb68e42e4d32c30f73b9;327.0;1911.0;1463.0;189.0;545.0;1387.0;1.0;294.0;145.0;817.0;106.0;16.0;92.0;41.0;151.0;158.0;49.0;29.0;25.0;2.0;0.0
8aa99a96487cc001bee23a97e7bcaaa9;58335.0;213505.0;306314.0;79295.0;131107.0;228968.0;314.0;15223.0;66813.0;117803.0;20435.0;5220.0;1398.0;69189.0;28642.0;14012.0;4064.0;4355.0;35624.0;16210.0;5638.0
866fd5510eea4027bd20492d39cb7658;51251.0;28412.0;99532.0;44560.0;76680.0;65493.0;1312.0;19350.0;45719.0;83827.0;9818.0;10963.0;1116.0;39470.0;34208.0;15901.0;5025.0;4899.0;39512.0;18836.0;5788.0
35f6a432e3778360ec06d2e3e877fd35;238.0;97.0;665.0;156.0;168.0;120.0;0.0;57.0;72.0;78.0;11.0;14.0;2.0;11.0;17.0;8.0;4.0;2.0;5.0;1.0;0.0
15d0d630145f612bf94d798ad2d1bb2a;0.0;23.0;31.0;50.0;27.0;190.0;0.0;0.0;10.0;88.0;125.0;0.0;0.0;219.0;7.0;0.0;0.0;0.0;21.0;51.0;51.0
9618444364dfa506142f051bed80924f;52.0;22.0;106.0;104.0;36.0;36.0;0.0;0.0;58.0;10.0;13.0;0.0;0.0;12.0;8.0;21.0;0.0;0.0;20.0;3.0;1.0
